product_id,description,Feature1,Feature2,Feature3
P0001,Product 1 with features like ['lightweight' 'lightweight'],74.402958008135,75.13485773568057,12.763154427530186
P0002,Product 2 with features like ['fast' 'premium'],14.890373732716741,35.459697153297874,53.66422882576
P0003,Product 3 with features like ['fast' 'fast'],43.52422353515681,15.818453035388352,71.16735174378144
P0004,Product 4 with features like ['reliable' 'durable'],34.49112639902082,91.3735709590089,16.636453611846942
P0005,Product 5 with features like ['fast' 'reliable'],97.37226867868499,59.40035576550149,52.49401482541153
P0006,Product 6 with features like ['lightweight' 'durable'],19.478923494183,62.292103147602205,28.82134971173809
P0007,Product 7 with features like ['durable' 'durable'],48.73121052484836,73.69943753614372,65.23402528755679
P0008,Product 8 with features like ['lightweight' 'reliable'],27.719078088081908,54.923195728475065,96.42529947874044
P0009,Product 9 with features like ['lightweight' 'lightweight'],18.01949245844667,95.41982130576207,88.472359798719
P0010,Product 10 with features like ['premium' 'fast'],33.7129330158153,80.87297825650182,69.3080572942098
P0011,Product 11 with features like ['reliable' 'premium'],79.34153720614947,84.42869719740023,83.78897796680307
P0012,Product 12 with features like ['lightweight' 'reliable'],1.936928565007809,97.65234398307294,81.8677601601808
P0013,Product 13 with features like ['premium' 'reliable'],92.37545085004643,21.58257780805267,54.024964006367554
P0014,Product 14 with features like ['premium' 'durable'],43.466102759980195,55.29327178586914,61.55427199319063
P0015,Product 15 with features like ['fast' 'reliable'],46.41764051569783,84.08935875969176,46.70424300172338
P0016,Product 16 with features like ['premium' 'premium'],2.4245277274218653,11.652961875719749,43.250553591361026
P0017,Product 17 with features like ['fast' 'lightweight'],97.40386267116496,82.36902253529041,72.23945305163367
P0018,Product 18 with features like ['reliable' 'fast'],2.673815995130587,62.369386703466446,65.8471053840519
P0019,Product 19 with features like ['lightweight' 'reliable'],27.210565322916185,54.95934819303942,17.825237909034197
P0020,Product 20 with features like ['lightweight' 'fast'],49.69557138568546,75.95522068039497,56.14469852770891
P0021,Product 21 with features like ['lightweight' 'fast'],32.9023072586276,68.49731632620635,16.453096631507037
P0022,Product 22 with features like ['fast' 'fast'],16.533918782095334,59.982809886585294,53.46588405145512
P0023,Product 23 with features like ['fast' 'lightweight'],17.6837896043547,48.110820678295084,92.87904928542858
P0024,Product 24 with features like ['fast' 'premium'],15.961926913696942,45.203259587790605,78.17963662253537
P0025,Product 25 with features like ['durable' 'lightweight'],56.145081180055286,9.434280562735015,31.865038979633148
P0026,Product 26 with features like ['reliable' 'lightweight'],50.011675598792635,46.327737943140015,53.85083741550809
P0027,Product 27 with features like ['fast' 'durable'],57.064631743004405,69.00620308401739,75.21333746412952
P0028,Product 28 with features like ['reliable' 'premium'],23.19779801523833,96.05905596687431,85.18044321391395
P0029,Product 29 with features like ['durable' 'lightweight'],61.30914107925682,27.973284865725898,16.44845068259445
P0030,Product 30 with features like ['premium' 'durable'],96.40980245288416,42.369957614591875,83.55688652327294
P0031,Product 31 with features like ['premium' 'reliable'],44.959832995577486,17.22313651774454,59.515752477602334
P0032,Product 32 with features like ['premium' 'durable'],70.04446123935395,64.57431738917965,28.29671379249585
P0033,Product 33 with features like ['reliable' 'durable'],3.50918718989858,25.10868814447107,97.00473314731772
P0034,Product 34 with features like ['reliable' 'fast'],93.34105781777497,87.78101345430045,56.176848311331355
P0035,Product 35 with features like ['fast' 'fast'],24.381027876564023,8.982207973365036,12.131857083003906
P0036,Product 36 with features like ['fast' 'reliable'],43.03173071761753,81.4675506357426,30.683136470935896
P0037,Product 37 with features like ['premium' 'durable'],60.51023720710674,3.962800564136758,94.96467024104898
P0038,Product 38 with features like ['lightweight' 'premium'],64.44630942637653,89.78911846798934,78.78676020234937
P0039,Product 39 with features like ['reliable' 'reliable'],51.56034403846541,32.054647165528564,74.9177628348584
P0040,Product 40 with features like ['premium' 'lightweight'],98.6242419426868,72.39030421625013,46.260943848536584
P0041,Product 41 with features like ['reliable' 'premium'],32.13576149854027,15.735018505111046,3.335560778536648
P0042,Product 42 with features like ['fast' 'durable'],65.1689308819109,40.748157060548905,61.584646913318416
P0043,Product 43 with features like ['reliable' 'reliable'],43.53269367924376,51.53435206044753,37.51681983900097
P0044,Product 44 with features like ['reliable' 'premium'],27.85925668847575,17.560094400882914,38.520447890973415
P0045,Product 45 with features like ['reliable' 'durable'],44.26705062675651,68.5915416324556,76.1612894669363
P0046,Product 46 with features like ['reliable' 'fast'],52.6336403572258,66.25028052116366,25.55373167887228
P0047,Product 47 with features like ['fast' 'fast'],42.037913328940824,58.86609733842871,29.013722436187933
P0048,Product 48 with features like ['fast' 'durable'],35.573398415115946,86.08952931015972,56.254970872492635
P0049,Product 49 with features like ['reliable' 'durable'],96.36649417187188,91.73839384486214,43.47779647655039
P0050,Product 50 with features like ['lightweight' 'durable'],45.96005185686822,1.9401648875670832,54.14486259348827
P0051,Product 51 with features like ['lightweight' 'lightweight'],98.52823129415569,20.683231469925158,56.330132339476
P0052,Product 52 with features like ['lightweight' 'fast'],40.55362192202189,89.28185624500124,97.70298968769971
P0053,Product 53 with features like ['fast' 'lightweight'],60.35889176353409,91.4110410570367,93.03866934467142
P0054,Product 54 with features like ['reliable' 'premium'],42.49777447950878,94.1406074243551,52.26462431983706
P0055,Product 55 with features like ['durable' 'premium'],66.25527329680851,38.89528022379864,74.11085834841997
P0056,Product 56 with features like ['lightweight' 'reliable'],2.9862698230593896,81.66509285589954,78.52403661559548
P0057,Product 57 with features like ['premium' 'durable'],71.3941216773157,26.543441066121137,53.25416440313939
P0058,Product 58 with features like ['fast' 'premium'],48.883863757029886,65.07738728940916,15.050420232695755
P0059,Product 59 with features like ['fast' 'premium'],34.828423826243686,67.1137007516577,99.0743508242771
P0060,Product 60 with features like ['fast' 'fast'],70.81786991539906,65.85655141957616,97.66159350484902
P0061,Product 61 with features like ['durable' 'durable'],9.257000724653984,97.70672691209202,10.525903196018733
P0062,Product 62 with features like ['premium' 'durable'],4.396257124287136,92.63666542665673,35.10425120651803
P0063,Product 63 with features like ['premium' 'premium'],18.091506517159917,56.416529145823304,84.25694422333133
P0064,Product 64 with features like ['durable' 'fast'],33.28488500622677,50.75151148126464,32.079190438014834
P0065,Product 65 with features like ['lightweight' 'reliable'],68.91133288564527,22.840671615726986,53.82103897898012
P0066,Product 66 with features like ['reliable' 'lightweight'],70.27957886337562,31.6372034855009,54.38393878090328
P0067,Product 67 with features like ['premium' 'lightweight'],7.443078405206345,44.54822403360351,69.57511675640906
P0068,Product 68 with features like ['lightweight' 'durable'],24.68464123989008,54.44357458146412,79.39634165297622
P0069,Product 69 with features like ['premium' 'reliable'],77.99424765466415,31.240561415464867,97.32779103634293
P0070,Product 70 with features like ['reliable' 'premium'],70.98694286536036,96.83847560720012,3.0445315918535556
P0071,Product 71 with features like ['lightweight' 'lightweight'],45.468776507761746,40.833117846240505,52.780671135796794
P0072,Product 72 with features like ['lightweight' 'lightweight'],6.504637462935663,45.82201164512118,50.95586672749873
P0073,Product 73 with features like ['fast' 'durable'],18.160779767322964,98.1889133175688,2.017427324377906
P0074,Product 74 with features like ['reliable' 'lightweight'],11.128847520245937,56.49280915321979,34.36142239578643
P0075,Product 75 with features like ['reliable' 'premium'],4.842607651513308,23.49562661958806,51.84625712277308
P0076,Product 76 with features like ['fast' 'lightweight'],20.94608492342437,6.302376045095831,13.212533299064868
P0077,Product 77 with features like ['fast' 'premium'],49.7591365762727,19.34856838872453,31.495843818880036
P0078,Product 78 with features like ['fast' 'durable'],39.324358387267175,10.004891377665432,69.2302119665611
P0079,Product 79 with features like ['fast' 'durable'],37.66195931478631,43.83456201113011,25.56368470579085
P0080,Product 80 with features like ['fast' 'durable'],97.67648576406857,35.617676643065735,89.05375218339574
P0081,Product 81 with features like ['lightweight' 'premium'],96.53918369676856,54.115479563907016,81.40951464321438
P0082,Product 82 with features like ['premium' 'premium'],78.67639986958746,52.29286887994154,55.79143653068662
P0083,Product 83 with features like ['reliable' 'reliable'],84.25892791014829,4.676064336716953,84.00208878439177
P0084,Product 84 with features like ['lightweight' 'lightweight'],62.59019505125739,33.56198093979209,83.0735717972273
P0085,Product 85 with features like ['durable' 'reliable'],24.385061897168647,72.78435081455093,91.50326165866962
P0086,Product 86 with features like ['fast' 'durable'],78.10201368753275,13.915138108152563,51.935148489430254
P0087,Product 87 with features like ['premium' 'lightweight'],76.9451828071051,56.20409813530397,44.63117698205995
P0088,Product 88 with features like ['fast' 'lightweight'],42.605024628937194,77.70392245848326,49.736511792185695
P0089,Product 89 with features like ['fast' 'lightweight'],97.19518017761418,37.7924895440627,29.3793626405357
P0090,Product 90 with features like ['premium' 'reliable'],89.61527616371816,86.5920918332252,39.38245046160713
P0091,Product 91 with features like ['lightweight' 'lightweight'],37.425191029767056,15.718490301042152,57.25287457762025
P0092,Product 92 with features like ['lightweight' 'premium'],2.0850141457454585,45.12283150428165,34.72076383027326
P0093,Product 93 with features like ['lightweight' 'reliable'],54.68067504233609,42.54865487859608,52.8843424474642
P0094,Product 94 with features like ['lightweight' 'lightweight'],44.87446085666298,79.43248142485575,51.256009046784534
P0095,Product 95 with features like ['premium' 'fast'],43.607716299680455,42.6891501504237,65.95075035705652
P0096,Product 96 with features like ['durable' 'fast'],25.819691845657633,65.16411414347739,49.135782050964124
P0097,Product 97 with features like ['fast' 'durable'],51.86728108151627,86.52110330365473,22.593468548317592
P0098,Product 98 with features like ['fast' 'durable'],3.839449907538368,48.67805190632467,37.313634055671656
P0099,Product 99 with features like ['durable' 'premium'],17.445205654490543,25.270038866329877,55.6332062606604
P0100,Product 100 with features like ['premium' 'lightweight'],2.2512263309842955,68.15175960426087,79.97871926810393
P0101,Product 101 with features like ['durable' 'reliable'],41.02034428027287,8.861284582351127,73.75906211256053
P0102,Product 102 with features like ['premium' 'reliable'],37.804574529196444,99.93828297581491,5.386608363221439
P0103,Product 103 with features like ['lightweight' 'lightweight'],54.235738391746395,93.44931222529839,41.820048169162874
P0104,Product 104 with features like ['premium' 'reliable'],28.686343871896753,69.54365137862771,30.5401467294185
P0105,Product 105 with features like ['durable' 'premium'],65.59951502381338,58.579832170204156,94.20335223138423
P0106,Product 106 with features like ['fast' 'lightweight'],25.312843752654206,19.91426480163654,84.02297115389736
P0107,Product 107 with features like ['lightweight' 'lightweight'],78.56957941485825,10.368867773297854,94.14869349203597
P0108,Product 108 with features like ['premium' 'reliable'],83.33556435632197,93.90679654588627,37.74442264828065
P0109,Product 109 with features like ['durable' 'fast'],62.403380641385354,85.13577322412826,71.69133601260883
P0110,Product 110 with features like ['fast' 'durable'],62.65132903490306,68.93916026819161,55.55940410152252
P0111,Product 111 with features like ['premium' 'lightweight'],80.69438914937625,88.29027630559536,62.93304852819046
P0112,Product 112 with features like ['reliable' 'durable'],68.92322303425226,2.5229727607908092,85.0092713413505
P0113,Product 113 with features like ['premium' 'durable'],3.072626664586328,18.13918830614705,81.1816754667344
P0114,Product 114 with features like ['premium' 'lightweight'],8.441118721066571,24.973918866894522,3.1991736414756606
P0115,Product 115 with features like ['premium' 'premium'],3.213454968488728,38.0853712641892,20.374930766116353
P0116,Product 116 with features like ['lightweight' 'durable'],73.1986574899954,93.78237874271068,3.3650314305549767
P0117,Product 117 with features like ['fast' 'reliable'],82.08041461304154,52.3780259309339,41.861289132358536
P0118,Product 118 with features like ['durable' 'premium'],75.38882295714583,11.159189592808694,23.193408627518814
P0119,Product 119 with features like ['premium' 'premium'],11.449595494396387,62.46298610943155,76.31974913881551
P0120,Product 120 with features like ['fast' 'lightweight'],27.049723054926538,79.76915926714577,18.61054070878167
P0121,Product 121 with features like ['premium' 'reliable'],57.359573050350264,63.14904248728437,83.9467105700515
P0122,Product 122 with features like ['fast' 'durable'],82.83651312917306,19.121494921673474,52.23558598811155
P0123,Product 123 with features like ['durable' 'durable'],66.39577388133135,57.84910383157032,35.51432201434716
P0124,Product 124 with features like ['durable' 'fast'],6.596618122339299,7.633275703645721,68.04029403821727
P0125,Product 125 with features like ['premium' 'lightweight'],60.213550300006624,40.07694368702073,24.351607976856194
P0126,Product 126 with features like ['lightweight' 'reliable'],54.30605351451835,2.077624041636327,6.0872949596209995
P0127,Product 127 with features like ['durable' 'durable'],97.23901101387219,98.22285129173304,69.94251744772674
P0128,Product 128 with features like ['fast' 'fast'],7.210812026285871,65.47515010436099,84.14326165107876
P0129,Product 129 with features like ['durable' 'durable'],93.62017265999361,30.223649656313043,93.27502682163505
P0130,Product 130 with features like ['premium' 'reliable'],95.80261946483007,46.58398737398222,9.24688532876385
P0131,Product 131 with features like ['lightweight' 'durable'],97.22033617268765,85.33761534129414,43.27288321417315
P0132,Product 132 with features like ['reliable' 'reliable'],7.8241995602723415,32.556550701033835,75.73562404255954
P0133,Product 133 with features like ['fast' 'premium'],46.684762694366896,60.0442270564001,21.523034811336633
P0134,Product 134 with features like ['premium' 'lightweight'],12.238926950257829,17.58979736196643,82.59690707796177
P0135,Product 135 with features like ['premium' 'fast'],35.15987542555374,94.6428735107529,46.84521159081825
P0136,Product 136 with features like ['premium' 'premium'],51.892107799438634,54.47195970578795,96.63325415312545
P0137,Product 137 with features like ['premium' 'durable'],60.31488184054071,36.62550750864519,80.19876872576194
P0138,Product 138 with features like ['fast' 'reliable'],96.30406075587666,73.74373797813199,61.0058453867216
P0139,Product 139 with features like ['premium' 'fast'],49.478452374738396,78.2593332601278,7.17540143401715
P0140,Product 140 with features like ['lightweight' 'lightweight'],18.62161507753594,81.38865860343977,75.54193476287914
P0141,Product 141 with features like ['premium' 'durable'],35.39395282201113,40.974047634213576,1.7016672924968637
P0142,Product 142 with features like ['fast' 'lightweight'],45.922830107838934,61.74458542057429,15.881643572440039
P0143,Product 143 with features like ['fast' 'premium'],69.65561244993536,57.849937498795946,88.19231421065255
P0144,Product 144 with features like ['fast' 'premium'],89.74426080975132,60.99232759359665,84.04787838958399
P0145,Product 145 with features like ['lightweight' 'premium'],87.75100638758262,43.207992408672524,70.179181478487
P0146,Product 146 with features like ['lightweight' 'fast'],14.510163477372108,54.236071957422524,34.77736382894408
P0147,Product 147 with features like ['durable' 'premium'],46.06869363451283,28.335560623404294,19.95197319429617
P0148,Product 148 with features like ['lightweight' 'reliable'],80.72964688685724,87.25133756828788,44.99434675858018
P0149,Product 149 with features like ['reliable' 'premium'],12.527288071374967,96.52356196624433,37.802402571903926
P0150,Product 150 with features like ['fast' 'durable'],63.18945106461946,68.55735681731407,7.245719513613506
P0151,Product 151 with features like ['premium' 'lightweight'],54.13567591638244,30.825949533558486,91.91866793893354
P0152,Product 152 with features like ['fast' 'premium'],13.002718767447648,49.8982420242297,64.3846280954964
P0153,Product 153 with features like ['fast' 'reliable'],4.323730699827298,52.51821677618245,59.976924134458294
P0154,Product 154 with features like ['fast' 'premium'],3.2448833834996997,8.871715244795585,71.5123909386134
P0155,Product 155 with features like ['lightweight' 'reliable'],35.16106947756262,12.45580960706127,56.81668232375965
P0156,Product 156 with features like ['reliable' 'durable'],71.38711724580152,93.77943232277504,7.570559957434384
P0157,Product 157 with features like ['reliable' 'premium'],97.04835283862056,97.98629044138649,23.866311808567467
P0158,Product 158 with features like ['premium' 'reliable'],70.68122487134237,60.14998542690781,29.7830037348218
P0159,Product 159 with features like ['reliable' 'premium'],26.814090758476013,38.359100453741185,13.445331198011976
P0160,Product 160 with features like ['reliable' 'premium'],68.22431258966667,76.61068957697336,85.99341778995479
P0161,Product 161 with features like ['fast' 'fast'],68.33646905495765,90.68491793501138,73.19287983301905
P0162,Product 162 with features like ['durable' 'lightweight'],12.52729288621802,67.64017071951584,53.830472982287155
P0163,Product 163 with features like ['durable' 'durable'],30.9680479562762,3.1660589617025097,60.67264157564163
P0164,Product 164 with features like ['lightweight' 'durable'],3.1004978378300967,44.99793949311811,37.52087297855295
P0165,Product 165 with features like ['premium' 'fast'],26.56622499572462,60.808428574213174,93.5574451232346
P0166,Product 166 with features like ['reliable' 'reliable'],26.70270668403083,35.84161685405341,86.50102713198254
P0167,Product 167 with features like ['lightweight' 'fast'],40.17636179726596,81.91971219783946,23.517744044812403
P0168,Product 168 with features like ['premium' 'premium'],51.1239280051494,16.752890274225383,55.26079622946921
P0169,Product 169 with features like ['premium' 'lightweight'],81.3541197265554,96.90507250150418,92.62065433698073
P0170,Product 170 with features like ['lightweight' 'reliable'],53.02664804101888,4.27589194229558,53.83032156372329
P0171,Product 171 with features like ['reliable' 'lightweight'],52.257521219191574,68.84079108453561,32.09737181277369
P0172,Product 172 with features like ['premium' 'premium'],12.168154373438119,10.22603207693654,72.29656958879602
P0173,Product 173 with features like ['reliable' 'durable'],42.728560918733834,16.674862981233222,86.7692149457454
P0174,Product 174 with features like ['durable' 'premium'],39.06263250561255,1.0344303831501074,92.93359212080699
P0175,Product 175 with features like ['premium' 'durable'],91.80394708695371,31.567767139739644,46.81101839985131
P0176,Product 176 with features like ['reliable' 'durable'],2.4655059488732887,43.66791809793807,46.87574918259456
P0177,Product 177 with features like ['durable' 'lightweight'],91.21995388607888,90.28576148356656,74.41404851465471
